,position,company,description,location
2252,Data Scientist,ZestFinance,"The Lead, Data Scientist will lead Zestâs ML team to deliver technically excellent, highly predictive yet explainable models to drive Zestâs businesses. The Lead, Data Scientist will also communicate and champion Zestâs underwriting technologies to external constituencies including conferences, press, and potential clients.
You will lead the team to develop radically new methods for manipulation and prediction that will enable us to provide fair, transparent credit. Using a combination of machine learning technology and vast amounts of data sources, we seek to transform the credit market while expanding our team into interesting and revolutionary frontiers within the credit world.
In this role you will:
Lead a team of 5+ data scientists in developing high-quality, robust, predictive and explainable algorithms that produce robust and scalable real-time predictions
Define Zestâs modeling strategy and manage pipeline for internal and external modeling efforts
Translate unstructured business problems into well-defined machine learning projects
Collaborate with a cross-functional team of Engineers, Product Managers, and Business Analysts to identify and manage high leverage opportunities for modeling work
Represent ZestFinance in calls, meetings, conferences to advance Zestâs position as the worldâs leading ML team
Visibly drive innovation by incorporating new modeling capabilities and/or pioneering data sources
Develop and evangelize best practices for scoping, building, validating, and monitoring modeling projects
Recruit, motivate and develop members of the data science team
We are looking for:
Masters/PhD Degree in Math, Computer Science, Statistics, or a related quantitative field.
Expert command of statistical analysis, algorithm development, and state-of-the-art tools and methodologies for data science
5+ years creating predictive models using advance machine learning techniques
2+ years managing a team of data scientists
Expert command of SQL and R or Python as applied to data science
Experience developing real-time production data pipelines
Experience interacting with external clients is a plus
Perks and benefits:
People â?the best part of Zest
Robust healthcare plans, matching 401K and unlimited vacation time
Dog friendly office with lounge areas, video games and gigantic jigsaw puzzles
On-site gym with yoga, salsa and other employee run fitness classes
Generous family leave policy (6 month maternity leave/3 month paternity leave)
Tuition reimbursement, conference allowance and Zest talks
Complimentary massages, manicures, pedicures and more
Daily catered lunches from LAâs best restaurants and fully stocked kitchen

About ZestFinance:

ZestFinance, Inc. applies its unique credit-decisioning technology platform â?based on data science and machine learning â?to help lenders effectively predict credit risk so they can increase revenues, reduce risk and ensure compliance. ZestFinance was founded in 2009 by Douglas Merrill and a team of former Google employees with the mission of making fair and transparent credit available to everyone.

We are committed to diversity in hiring, professional development, and everyday discussion. Zest is determined to hire crazy smart people who are different from each other to create broad thinking, lots of different ideas, and by extension, the best team possible.","Los Angeles, CA"
2253,Data Scientist,Oath Inc,"Verizon Digital Media Services brings together world-class technology to prepare, deliver and display content â?so users can watch and enjoy on their terms. The purpose of our platform is simple. It delivers next-generation digital experiences for todayâs demanding users, whether it be their favorite TV shows, catching up with friends via social media or shopping for the latest gadgets. Built on top of one of the worldâs largest networks, our platform easily handles your usersâ?appetite for instant, secure and always-on media, anytime, anywhere.


The Traffic Management team provides key functions to the Network, Systems, and Application engineering teams. The traffic management team is responsible for:
Identifying customer traffic profiles for high traffic events
Creating custom routing profiles based upon collected analytics
Interface with customers and sales professionals for large capacity events
Develop and use internal tools to manage and delivery customer events
Analysis of customer events through the use of big data platforms
Drive automation from live and archived data analysis

Minimum Qualifications:
R, SQL, Pandas, NumPy or related experience with data wrangling
Revision control systems (GIT, SVN, etc)
Customer facing role for 2 years
2 or more years providing insights to technical problems with data
Degree in Computer Science of related experience
Clear understanding of HTTP and/or DNS protocols
Ability to work in a collaborative environment

Preferred Qualifications:
3-5 years of customer facing representation
Demonstrated experience with creating KPIs and dashboards for executive and customer review
Expert in SQL, R, Pandas or related data science tooling

The Attitude
Highly motivated, self-driven, and ambitious individual to drive sales and revenue for the company
Possess excellent communication skills - written, verbal, presentation and interpersonal
Responsible, self-directed, forward thinker who knows what needs to be done and operates with urgency, focus, discipline and minimal supervision.
Highly organized and able to multi-task in an extremely fast paced, energetic, entrepreneurial environment


Oath is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on, age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. Oath is dedicated to providing an accessible environment for all candidates during the application process and for employees during their employment. Please let us know if you need a reasonable accommodation to apply for a job or participate in the application process.


Currently work for Oath? Please apply on our internal career site.","Los Angeles, CA"
2254,Data Scientist,Capital Group,"Req ID: 22804
Experience Level: Professional
Other Location(s): N/A
Relocation offered: Yes
Travel required: None
Come grow with us
At Capital Group, how we work is defined by shared values that include absolute integrity, respect and collaboration. But itâs more than that. Itâs smart and highly driven people united in purpose to serve our investors and one another.
Bring your energy and unique perspective to Capital and youâll have the opportunity to grow with us professionally, personally, and financially. Youâll be part of a team that genuinely cares about helping you succeed. Youâll work alongside talented colleagues, many of whom build long careers while progressing through multiple roles, establishing lifelong friendships and making a difference in our communities. In return for your contributions, youâll receive premier compensation and benefits, and a company-funded retirement plan that ranks among the most generous.

Our Data Solutions team is focused on enriching core investment and distribution processes, quantitative analytics, reporting and analysis, and artificial intelligence. We are focused on defining Capital Group's investment data strategy to establish a comprehensive set of data capabilities. We are implementing and evolving to enable the full range of business objectives. We use data to minimize risk and increase efficiency/effectiveness.

Our team is looking for a data expert to stand-up our fundamental capabilities to source, automate, and curate data with quality data access. Eventually you will help us build-out our Data Science function and mentor 3-5 additional associates.

Responsibilities:
Leverage structured and unstructured data to solve tactical and strategic problems
Develop machine learning and deep learning models to create intelligent software applications used by Investment Operations teams
Create pattern recognition algorithms by identifying and integrating internal and external sources of information using analytical tools and techniques
Perform complex data manipulation and analytics, while working with business functions to identify and to respond to complex technical and business problems
Interpret and communicate analytic results to analytical and non-analytical business partners and senior managers

Qualifications:
Masterâs degree required
4+ yearsâ?directly applicable experience leveraging data to drive significant business impact
Creating new methodologies in the intersection of applied math, computer science, and statistics
Proficiency in translating business problems into concrete mathematical framework
Communication Skills:
Clear and concise
Storyteller
Adapt to different audiences
Data visualization and presentation
Technical Skills:
Programming
Quantitative analysis
Machine learning, deep learning, natural language processing
Data mining algorithms
Data analysis languages; Python, R, Matlab, or SAS
Cloud analytics platforms; Microsoft Azure, AWS, Google Cloud
Distributed Systems
Query languages; Spark, Hive, Pig
SQL
Write efficient code; Python, Scala, F#, Java, C#, C++

Company Overview:
Founded in 1931, Capital Group is one of the worldâs largest and most trusted investment management companies and home to the American Funds. We manage more than US$1.39 trillion in assets, and our 7,500 associates make our clients their first priority every day. When we do our job right, millions of investors around the world fulfill their dreams and financial goals, from home ownership and higher education, to a comfortable retirement. Our long-term investment results and outstanding service set us apart from our competitors, while our workplace sets us apart from other employers.

We are an equal opportunity employer, which means we comply with all federal, state and local laws that prohibit discrimination when making all decisions about employment. As equal opportunity employers, our policies prohibit unlawful discrimination on the basis of race, religion, color, national origin, ancestry, sex (including gender and gender identity), pregnancy, childbirth and related medical conditions, age, physical or mental disability, medical condition, genetic information, marital status, sexual orientation, citizenship status, AIDS/HIV status, political activities or affiliations, military or veteran status, status as a victim of domestic violence, assault or stalking or any other characteristic protected by federal, state or local law.","Los Angeles, CA 90071"
2255,Data Scientist,Voxelcloud,"Job Description

The R&amp;D team (located in Los Angeles, CA) is involved with creating innovative solutions using deep learning tailored to the needs of the product lines.
Responsibilities:
Develop deep learning models and provide a layout of the research direction for the engineers in the team
Publish results in the top conferences and journals in the fields of medical imaging or computer vision
Document experiments on Confluence with supporting summary statistics and instruction for use.
Occasionally get hands dirty with data cleaning
Produce tables, figures and analytical results for patent writing, clinical study reports and statistical analysis plans Qualifications

Solid understanding and hands on experience with solving computer vision problems using deep learning
Prefer 3+ year(s) in using CNNs for classification, detection, segmentation, etc.
Publications in top journals or conferences in the fields of computer vision or medical imaging.
Proficient with at least one major deep learning framework, preferably TensorFlow
Familiarity with videos or medical images is a plus
Strong passion or curiosity for artificial intelligence and the ability to learn fast
Detail-oriented, well organized and self-motivated with a continuous drive to learn, explore and be challenged; work well in teams and communicate ideas clearly
PhD in computer science, statistics or related field
Additional Information

Visit us at: http://voxelcloud.ai","Los Angeles, CA 90024"
2269,Data Scientist,Harnham,"Data Scientist, Marketing - Ecommerce
Los Angeles, CA
$110-120k + Benefits
As a Data Scientist within this exciting Ecommerce company you will be playing an integral role in helping the organization capitalize on opportunities within their broad and ever-growing data sets through the use of machine learning algorithms.
Ideally you will have strong technical expertise in Python and experience of wrangling large amount of data while acting as a strong collaborator and advocate for the data teams.
The Company:
This exciting and fast growth Ecommerce company is one of the top 10 funded startups in LA at the moment with some exponential growth planned as they look to triple the size of their analytics team over the next 12 months.
The Role:
You'll be using machine learning algorithms to turn complex data into easily actionable solutions for the business to leverage. You will help bring to life all customer touchpoints including ecommerce, retail, content, offline events, podcasts, magazine, social media and much more!
Develop, tune, and operationalize various machine learning models and algorithms including attribution, segmentation, churn, propensity, and personalization
Own your models from start to finish from data exploration to working with the business to turn your insights into action
Formulate experiments and conduct hypothesis testing
Prototype creative solutions and iterate rapidly
Partner with Data Engineering to build a solid data foundation for models to be built on
Collaborate across business functions (analytics, planning, marketing, merchandising, operations, product) to identify ways machine learning can help grow the business
Your Skills and Experience:
Expert knowledge and experience of SQL
Expert knowledge and experience of Python coding and machine learning libraries (NumPy, SciPy, Pandas)
Proven experience in taking a project from exploration and development to operationalizing and making it easily consumable by the business
Understanding of online user behavior metrics, content optimization, digital advertising and ad serving optimization
Strategic, cross-functional thinker able to gather business buy-in for ideas and projects
How to Apply:
For more information about the role press ""apply now"" or send your resume directly
Keywords:
Data Science, Data Scientist, SQL, Python, Machine Learning, NumPy, SciPy, Pandas, online user behavior metrics, content optimization, digital advertising, ad serving optimization, coding, operationalize","Los Angeles, CA"
2281,Data Scientist,JBCConnect,"Role: Data Scientist- Marketing

Location: Los Angeles, CA

Pay: Dependent on experience

As a Marketing Data Scientist you enjoy working with large sets of data, transforming them, and solving complex problems. In this role you will help drive growth of the business through fact-based insights, data-driven analysis and optimization of the ecommerce experience.

Responsibilities:
Develop, maintain, and optimize customer-data-based modeling (customer segmentation, inventory patterns, customer lifetime value, recommender, multi-touch attribution models).
Build custom models to understand customer behavior, marketing analytics, inventory patterns, etc.
Capture e-commerce KPIs and analyze trends over time. Perform deep dive analysis into specific KPIs to understand the underlying influences.
Develop an understanding and/or have knowledge of SEO best practices and its impact on traffic and other metrics
Partner with marketing team to identify targeted audiences digital media, on-site personalization, and one-to-one marketing (e.g., email, SMS, and direct mail) leveraging transactional data, online-browse behaviors, and 3rd parties.
Gather marketing data, provided insights and build predictive models that increase the effectiveness of marketing campaigns and make strategic recommendations to optimize marketing spend, business processes and maximize profitability
Lead business analysis of customer and business metrics. Provide guidance and frameworks for designing and developing models and analyses across multiple domains including marketing (online/offline marketing mix, multi-touch attribution, multivariate testing) and customer behavior (site traffic, purchase activity, acquisition/retention, predicting lifetime value).


The Qualifications:
Bachelor' s degree required in Business, Economics/Finance, Engineering, Statistics, Computer Science or related field. Masters a plus.
At least 5 years previous work experience (retail / e-commerce experience preferred) with strong understanding and proficiency of predictive modeling and machine learning techniques.
Proficiency in SQL, Excel and at least one of the following: R, and/or Python.
Solid understanding of open source data mining/data visualization software packages (e.g. pandas, scikit-learn, matplotlib) a plus
Experience with Adobe Analytics (SiteCatalyst / Omniture), Google Analytics, Coremetrics is a plus","Los Angeles, CA"
2286,Data Scientist,Imbellus,"Imbellus Overview
We are looking for exceptional people who share our mission: to reinvent how we measure human potential. At Imbellus, we build technology-enabled assessments that evaluate how people think instead of what they know. We believe our society must prioritize developing minds that do what computers cannot. By changing assessments, we reorient the education system and employers to measure what matters.
We love this challenge. We know that what has worked for decades in other contexts, might not work in ours. So we donât default on expertise, instead we test every assumption with logic, each idea with reasoning, and all conclusions with âprove it.â?We choose learning over ego so that our product and our people become the best.
Youâll probably enjoy working with us if
Youâre a systems thinker; youâd rather debate the concept than argue the example; you prize logic and reason
Youâre restless when not learning something new or stretching yourself
You understand that at a fast-growing startup, priorities may shift rapidly. You value exposure across functions and are prepared to work on whichever team or goal is most impactful.
Youâre willing to open-mindedly challenge your own and othersâ?ideas, but also commit to the ultimate direction when the time comes
You feel accountable and hold others to a high standard
Weâre looking for a Senior Learning Scientist


Given that we are designing a new, cognitive-based assessment, learning science research stands at the core of our design and development process. As we expand the scope of cognitive and non-cognitive capabilities we aim to assess for a broad set of clientele, we are seeking a talented, theoretically-minded Senior Learning Scientist who can initiate and collaborate on research plans that inform the design and evaluation of our simulation-based assessments.
What youâll be doing at Imbellus:
Needfinding and Definitional Research conducting extensive literature reviews, developing initial frameworks and models, building ontologies
Employing research methods that are experimental/quasi, descriptive, and/or qualitative, including study design, data collection, analysis &amp; reporting
Engaging in inter-rater agreement on framework design, structural analyses, and construct mapping
Mapping constructs across Imbellus and client models
Heavily collaborating with other Senior Scientists and the Game Design Team
Defining best practices at the intersection of learning science and game research and development
Working closely with the Data Science team to define and validate expert models and telemetry scores
What youâll need to succeed at Imbellus:
PhD, EdD, or ABD (with intent to complete) in Educational Psychology, Educational Technology, Instructional Design, Learning Design, Cognitive Psychology, Psychology, or other research-based fields in learning science
Understanding of cognitive and motivational aspects of learning and assessment
Strong familiarity and interest in games or other interactive media for learning and assessment
Experience leading research and/or R&amp;D studies (emphasis on qualitative research preferred)
Competent with SPSS or other statistical analysis program(s)
Experience with research in affective capabilities is a bonus
Experience with research on simulation and/or game-based learning and assessment preferred
Experience with assessment design preferred
Experience with validating technology-based assessments preferred
Experience in Evaluation Study Design preferred
Experience in applied research and development preferred
Our name comes from the Latin word âImbellis,â?a breed of Betta fish. Betta fish donât swim in schools. Welcome to our fish tank.","Los Angeles, CA 90024"
2287,Data Scientist,Harnham,"Senior Data Scientist
Los Angeles

Harnham are partnering exclusively with a leading one of the world's leading management consultancies as they look to build and develop their data science practice aggressively over the next few years
Based out of their Los Angeles offices, you will be charged with partnering with program managers and engineers to tackle the most complex and challenging data problems facing their clients today.
This position will hold key responsibility within the business and has a clear trajectory towards a managerial capacity. This is a great opportunity to join a world leading business as it seeks to capture new markets and establish itself as the global leader in Data Science consulting

YOUR ROLE AS SENIOR DATA SCIENTIST:

Design and build data-driven solutions for clients
Engage with and present to technical and non-technical stakeholders up to C-Suite
Data visualization of trends and patterns within large scale data sets
Perform in-depth technical analysis of client data sets, utilizing Machine Learning and Statistical Modeling
SKILLS AND EXPERIENCE:

PhD degree in Statistics, Maths, Computer Science, Engineering or equivalent educational or professional qualifications.
Prior experience in a customer facing role would be a plus
Comfortable utilizing analysis tools including SQL, R and Python
Strong Machine Learning and NLP background
Prior experience with Spark, Hadoop and Redshift
Strong track record of leveraging data analytic methods within the Technology sector and experience with large data-sets to create data-driven insights
THE BENEFITS:
A market leading base salary, as well as a company and personal related annual bonus and generous employee benefits
HOW TO APPLY:
Please register your interest by sending your rÃ©sumÃ© via the' Apply' link on this page.","Los Angeles, CA"
2307,Data Scientist,Harnham,"Data Scientist, Marketing - Fast Growth Ecommerce
Los Angeles, California
$120,000-130,000
As a data scientist within an exciting cross-functional health and wellness company, you will have the ability to impact the business in a stretch of industries. You are driven to use machine learning algorithms to create a story regarding all the products the company provide and help them continue to grow to the next level.
The Company:
This company is a trailblazer within the health and wellness retail space. They have innovative ideas within the realms of beauty, health, and social media to name a few! Now is an exciting time to join due to their exponentially growing consumer base. With multiple products as well as a strong online presence you will be able to help the business hone in on the consumer's interests and future projections. The amount of data available calls for a person who is not only passionate about data but also excited about the idea of converting it into creative solutions for future business initiatives.
The Role:
In this role, you will have the potential to develop machine learning models and algorithms to make your insights into workable business action. You will develop creative functionality across all the business' platforms whether it being within marketing initiatives or merchandising to enhance business performance.
Your Skills and Experience:
Commercial experience with SQL with advanced proficiency
Advanced knowledge as well as proficiency with machine learning libraries such as NumPy, SciPy, and Pandas
Prior experience working with analyzing consumer behavior whether it be through advertising, web analytics, or behavior metrics
Develop machine learning models and algorithms to be able to turn your analysis of the data into workable action
The Benefits:
Creative autonomy within a growing business and the ability to identify room for improvement and provide insight on action to take
Leadership that values innovative ideas and gives the data scientist room to implement those initiatives
Company culture that puts emphasis on the value of each individual and making the work space feel like home","Los Angeles, CA"
2441,Data Scientist,Microsoft,"Join the excitement of Artificial Intelligence in the Cloud at Microsoft! We are a fast-paced data science team in the Cloud Artificial Intelligence Platform Group, building deep learning powered intelligent tools and end-to-end solutions for scenarios in diverse enterprise and consumer verticals.
We are looking for data scientists who are passionate about data and want to apply machine learning techniques to solve real-world problems for enterprises and consumers. You will help develop capabilities for deep learning models and tools and solutions around it. You would also work on predictive and prescriptive modeling, text and image mining &amp; processing, recommendations, clustering, forecasting methods, and other advanced statistical techniques. You will work with data from diverse structured and unstructured data sources in both batch and streaming modes, and various formats including tabular, image/video, audio, text and time series.

Responsibilities
In this role, you will interact with a team of experts in deep learning, machine learning, distributed systems, program management and partner product teams, and work on all aspects of the design, development and delivery of deep learning enabled solutions, including problem definition, data acquisition, exploration, training, testing and evaluating deep learning models, and creating end-to-end pipelines and solutions in production.
Qualifications
PhD/MS degree in Electrical Engineering, Computer Science, Physics, Mathematics, etc.
5+ years (including PhD research) of experience in Machine learning/Deep learning
Experience in any of the deep learning frameworks (PyTorch, Keras, TensorFlow, CNTK, Theano, Caffe, etc).
System-level knowledge of deep learning (such as GPU or FPGA implementations) a plus
Strong software development skills in one or more high level languages (C/C++/Java/C#) and one or more scripting languages (Python/R/javascript)
Publications in related fields (deep learning, machine intelligence, data mining, etc.) preferred.
Experience building production grade machine learning enabled solutions end to end.
Strong intellectual curiosity and passion to solve real-world problems for enterprises and consumers
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:

Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.

xCloudAIx","Cambridge, MA"
2445,Data Scientist,Mathematica Policy Research,"Position Description:

Mathematica Policy Research is dedicated to improving public well-being by bringing the highest standards of quality, objectivity, and excellence to bear on information and analysis for our partners and clients. The company has been at the forefront of design and assessment of public policies and programs since 1968. Our data analytics have yielded actionable information to guide decisions in wide-ranging policy areas, from health, education, early childhood, and family support to nutrition, employment, disability, and international development. Come join our team and make important contributions to improving the design and operations of key public programs.
Mathematica seeks a data scientist with experience in the design, development and implementation of applied data science and advanced analytics efforts for data analytic and statistical programming projects within the human services domain. S/he will contribute to advanced analytic business development strategies, analytic projects, and strategic planning around analytic methods, technologies, staffing and training. S/he will design, develop, and deploy data-driven approaches to solve problems and answer important policy questions for clients using technologies in data mining, machine learning, predictive analytics, statistical modeling, analytics platforms, and business intelligence.
Position Responsibilities:
Oversee the delivery of scalable and real-time analytical information in support of client decision making and Mathematicaâs projects
Manage data science projects and tasks
Contribute to business development efforts (proposals, strategies, capabilities) for data science opportunities
Leverage technical expertise in applied data science and advanced analytics to build sound predictive analytical models and produce business intelligence solutions
Apply a wide array of advanced data mining techniques (including supervised and unsupervised methods, dimension reduction methods, and social network analysis methods) in support of research and operational analytic projects.
Contribute to methodological standards for the companyâs data analytics capabilities
Advise senior management on gaps in the companyâs current technical capabilities and recommend plans for growth through the adoption of new methodologies and technology
Mentor and support the professional development of new and existing staff in data science and advanced analytics

Position Requirements:

Masterâs degree or PhD in relevant field preferred; strong statistical background
5 years of experience in advanced analytics, data mining, predictive modeling, machine learning, or other data intensive analytical role
Proven ability to design and leverage data science methods according to client needs and in support of client decision-making
Experience working with large-scale databases, big data frameworks, and tools
Extensive experience with SAS, R, SQL, and/or business intelligence tools in the application of machine learning, network analysis, text analytics and/or predictive modeling
Proven ability to effectively communicate design specifications and results of models to internal and external audiences
Strong record of proven leadership ability and excellent communication skillsPrior experiencing leading advanced analytical teams and/or engagements is highly desired
Experience formulating or contributing to proof concept analyses or demos is highly desired
Experience contributing to innovative analytical solutions is highly desired
Experience contributing to business development efforts and business proposals is highly desired
Subject-matter knowledge in a human services substantive area such as education, labor, family support field preferred
To apply, please submit a cover letter, resume, writing sample, and salary requirements. We offer our employees a stimulating, team-oriented work environment, competitive salaries, and a comprehensive benefits package, as well as the advantages of employee ownership.
Various federal agencies with whom we contract require that staff successfully undergo a background investigation or security clearance as a condition of working on the project. If you are assigned to such a project, you will be required to obtain the requisite security clearance.
Available Locations: Princeton, NJ; Washington, DC; Cambridge, MA; Ann Arbor, MI; Oakland, CA; Chicago, IL

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.","Cambridge, MA 02139"
2494,Data Scientist,Amazon.com,"Job Description
The Alexa Information team strives to answer any question a customer could ask by combining natural language understanding, large volumes of knowledge, and a variety of machine learning techniques. Weâve solved many complex problems to get to where we are today, but there are still plenty of questions to answer, and Alexa is learning more every day. We believe that voice will fundamentally improve the way people will interact with technology, and we want your help to build the most knowledgeable voice service.




Your new role
As a Data Analyst you will work on a team with Scientists and Engineers to improve the quality of Alexaâs spoken language understanding.


Your responsibilities will include:
Providing hands-on data collection and data quality assessment services.
Data verification to check data conforms to some predetermined set of norms.
Data correction to ensure data presented to Amazon customers is suitably accurate and provides a good customer experience.
In this role, you will get to show your exceptional attention to detail and follow-through. You will also capitalize on your ability to multitask across several domains of data and work autonomously with minimum direction.
Basic Qualifications
BA or BS degree
Experience using Microsoft Excel
Preferred Qualifications
Adaptable; able to learn new tasks quickly and switch between them as required
Comfortable applying guidelines to ambiguous examples
Experience with command line tools
Excellent organizational, written and verbal communication skills
Highly efficient; able to maintain quality at a fast pace
Ability to work autonomously with minimum supervision
Track record of dependability and punctuality
Amazon is an Equal Opportunity-Affirmative Action Employer â?Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation","Cambridge, MA"
2495,Data Scientist,Whitehead Institute,"CLASSIFICATION: Exempt: Research Staff
REPORTS TO:Principal Investigator

OVERALL RESPONSIBILITY

Collaborate on short and long term independent research projects to support scientific research objectives of the lab. Utilize programming skills to design and implement tools directly related to biological research. Analyzes experimental data, addresses methodological problems in experimental protocols and results. Uses discretion in prioritizing and organizing workflow and in optimizing methodologies and results.

RESEARCH BACKGROUND AND GOALS

The Corradin lab is seeking an enthusiastic and motivated individual who is interested in utilizing their big data analytic skills to answer fundamental questions about the genetics of human disease. Determining genetic variants that predispose to common disease provides essential insights into the pathogenesis of human disorders. Rather than impact protein-coding genes, the majority of the genetic risk to disease alters the function of regulatory elements. Regulatory elements are noncoding regions of the genome that play a critical role in controlling gene expression programs. Gene regulation is what enables different cell types of the human body to have diverse functions, thus genetic variants that disrupt this process can have dire consequences for human health.

The Corradin lab is focused on evaluating how DNA variants can work in cooperation to impact gene expression and alters one's risk to developing a disease. This requires high-throughput analysis of datasets that involve tens to hundreds of thousands of individuals' genetic information. This position offers a unique and challenging opportunity to utilize big data, machine learning and other computational skills to study important aspects of human health and disease. The lab studies a variety of human disorders including multiple sclerosis, cancer and substance abuse disorders.

CHARACTERISTIC DUTIES
Write and create new custom code for analysis of big datasets (&gt;10TB)
Adapt analytical methods to perform on binary data formats
Increase speed and efficiency of big data analysis
Utilize statistical approaches such as regression, PCA and permutation-based analysis to study genetic data
Collaborate with lab members on machine learning and big data projects
Perform data analysis on new experiments and make conclusions based on data
Other tasks as required or assigned; potential for exploratory projects

QUALIFICATIONS
Required:
Bachelor's degree in data science, computer science, machine learning, big data or a field directly related to the work.
Must have 1+ years of experience in computer programming field.
Knowledge of Python (required) familiarity with C/C++, shell and/or R preferred.
Excellent written and oral communication skills, strong organizational skills.
No biology background required.

Interested candidates should submit a resume to resumes@wi.mit.edu
Or mail to:
Whitehead Institute, Attn: Human Resources
455 Main St.
Cambridge, MA 02142","Cambridge, MA"
2496,Data Scientist,Microsoft,"Join the excitement of Artificial Intelligence in the Cloud at Microsoft! We are a fast-paced data science team in the Cloud Artificial Intelligence Platform Group, building deep learning powered intelligent tools and end-to-end solutions for scenarios in diverse enterprise and consumer verticals. We are looking for data scientists who are passionate about data and want to apply machine learning techniques to solve real-world problems for enterprises and consumers. You will help develop capabilities for deep learning models and tools and solutions around it. You would also work on predictive and prescriptive modeling, text and image mining &amp; processing, recommendations, clustering, forecasting methods, and other advanced statistical techniques. You will work with data from diverse structured and unstructured data sources in both batch and streaming modes, and various formats including tabular, image/video, audio, text and time series.

Responsibilities
In this role, you will interact with a team of experts in deep learning, machine learning, distributed systems, program management and partner product teams, and work on all aspects of the design, development and delivery of deep learning enabled solutions, including problem definition, data acquisition, exploration, training, testing and evaluating deep learning models, and creating end-to-end pipelines and solutions in production.
Qualifications
Required:

 1+ years of experience (including PhD research) in machine learning or deep learning

Preferred:

PhD /MS/BS degree in Electrical Engineering, Computer Science or an equivalent technical field
Experience in any of the deep learning frameworks (Keras, TensorFlow, CNTK, Theano, Caffe, Torch, H2O)
System-level knowledge of deep learning (such as GPU or FPGA implementations) a plus
Strong software development skills in one or more high level languages (C/C++/Java/C#) and one or more scripting languages (Python/R/javascript)
Publications in related fields (deep learning, machine intelligence, data mining, etc.) preferred
Experience building production grade machine learning enabled solutions end to end.
Strong intellectual curiosity and passion to solve real-world problems for enterprises and consumers

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.

Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check every two years.","Cambridge, MA"
2497,Data Scientist,Panjiva,#NAME?,"Cambridge, MA"
2499,Data Scientist,Amazon.com,"Job Description
Weâre building the speech and language solutions behind Amazon Alexa and other Amazon products and services. Come join us!

As a Sr. Data Scientist in our Applied Modeling and Data Science team, you will be responsible for data-driven improvements and evaluation for our spoken language understanding models. Your work will directly impact our customers in the form of products and services that make use of speech and language technology.
You will:
Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
Clean, analyze and select data to achieve goals
Build and release models that elevate the customer experience and track impact over time
Collaborate with colleagues from science, engineering and business backgrounds.
Present proposals and results in a clear manner backed by data and coupled with actionable conclusions
Work with engineers to develop efficient data querying infrastructure for both offline and online use cases
Basic Qualifications
Bachelorâs or Masterâs degree in a relevant field
7+ years experience with various data analysis and visualization tools
Experience in Perl, Python, or another scripting language; command line usage
Track record of diving into data to discover hidden patterns and of conducting error/deviation analysis
High-level knowledge of various machine learning techniques and key parameters that affect their performance
Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relations
Understanding of relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc.
Preferred Qualifications
The motivation to achieve results in a fast-paced environment.Experience with statistical modelling / machine learningStrong attention to detailExceptional level of organizationComfortable working in a fast paced, highly collaborative, dynamic work environmentAbility to think creatively and solve problemsFluency in a foreign language

Amazon.com is an Equal Opportunity-Affirmative Action Employer â?Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation","Cambridge, MA"
